timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595010325289,57543,IPFS-Add,200,OK,Grupo de Usuários 1-4,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,57543,0,4
1595010292105,92476,IPFS-Add,200,OK,Grupo de Usuários 1-1,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,92476,0,51
1595010405241,40753,IPFS-Add,200,OK,Grupo de Usuários 1-2,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,40753,0,0
1595010457318,62064,IPFS-Add,200,OK,Grupo de Usuários 1-5,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,62064,0,2
1595010501031,50677,IPFS-Add,200,OK,Grupo de Usuários 1-3,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,50677,0,2
1595010897894,49518,IPFS-Add,200,OK,Grupo de Usuários 1-1,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,49518,0,38
1595010990201,97989,IPFS-Add,200,OK,Grupo de Usuários 1-4,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,97989,0,3
1595011029101,72637,IPFS-Add,200,OK,Grupo de Usuários 1-2,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,72637,0,3
1595011318095,58953,IPFS-Add,200,OK,Grupo de Usuários 1-5,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,58953,0,3
1595011435852,43532,IPFS-Add,200,OK,Grupo de Usuários 1-3,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,43532,0,1
1595011585582,62512,IPFS-Add,200,OK,Grupo de Usuários 1-1,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,62511,0,1
1595011690036,60854,IPFS-Add,200,OK,Grupo de Usuários 1-2,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,60854,0,1
1595011751065,49271,IPFS-Add,200,OK,Grupo de Usuários 1-4,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,49271,0,1
1595012021633,35711,IPFS-Add,200,OK,Grupo de Usuários 1-5,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,35711,0,4
1595012103834,81813,IPFS-Add,200,OK,Grupo de Usuários 1-3,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,81813,0,1
1595012248970,40914,IPFS-Add,200,OK,Grupo de Usuários 1-1,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,40914,0,1
1595012435457,44286,IPFS-Add,200,OK,Grupo de Usuários 1-2,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,44286,0,5
1595012495598,35630,IPFS-Add,200,OK,Grupo de Usuários 1-4,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,35630,0,1
1595012797794,51260,IPFS-Add,200,OK,Grupo de Usuários 1-5,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,51260,0,1
1595012899493,75811,IPFS-Add,200,OK,Grupo de Usuários 1-1,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,75811,0,8
1595012915378,81436,IPFS-Add,200,OK,Grupo de Usuários 1-3,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,81436,0,5184
1595013036722,51546,IPFS-Add,200,OK,Grupo de Usuários 1-4,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,51546,0,4
1595013215744,43475,IPFS-Add,200,OK,Grupo de Usuários 1-2,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,43475,0,3
1595013562874,65654,IPFS-Add,200,OK,Grupo de Usuários 1-3,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,65654,0,13
1595013600025,78824,IPFS-Add,200,OK,Grupo de Usuários 1-5,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,78824,0,3
1595013672618,71083,IPFS-Add,200,OK,Grupo de Usuários 1-1,text,true,,118,120,5,5,http://localhost:7001/ipfs/add,71083,0,1
