timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595053018174,107385,GetSimple,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Grupo de Usuários 1-1,text,false,,2599,0,1,1,http://35.211.244.95:3000/api/addAsset,0,0,178
1595053184412,634,GetSimple,400,Bad Request,Grupo de Usuários 1-1,text,false,,1373,654,1,1,http://35.211.244.95:3000/api/addAsset,634,0,213
1595053329843,407,GetSimple,400,Bad Request,Grupo de Usuários 1-1,text,false,,1436,222,1,1,http://35.211.244.95:3000/api/addAsset,404,0,242
1595053438815,329,GetSimple,400,Bad Request,Grupo de Usuários 1-1,text,false,,1436,222,1,1,http://35.211.244.95:3000/api/addAsset,329,0,169
1595053619118,11360,GetSimple,200,OK,Grupo de Usuários 1-1,text,true,,292,679,1,1,http://35.211.244.95:3000/api/addAsset,11360,0,200
1595053831813,330,GetSimple,404,Not Found,Grupo de Usuários 1-1,text,false,,396,284,1,1,http://35.211.244.95:3000/api/getAsset,330,0,158
1595053947780,325,GetSimple,404,Not Found,Grupo de Usuários 1-1,text,false,,396,284,1,1,http://35.211.244.95:3000/api/getAsset,325,0,158
1595054004057,330,GetSimple,400,Bad Request,Grupo de Usuários 1-1,text,false,,1436,216,1,1,http://35.211.244.95:3000/api/getAsset,330,0,168
1595054018883,3551,GetSimple,200,OK,Grupo de Usuários 1-1,text,true,,708,283,1,1,http://35.211.244.95:3000/api/getAsset,3551,0,189
1595054070027,856,GetSimple,200,OK,Grupo de Usuários 1-1,text,true,,708,283,9,9,http://35.211.244.95:3000/api/getAsset,855,0,168
1595054070230,1053,GetSimple,200,OK,Grupo de Usuários 1-3,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,1053,0,159
1595054070330,1450,GetSimple,200,OK,Grupo de Usuários 1-4,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,1450,0,161
1595054070732,1998,GetSimple,200,OK,Grupo de Usuários 1-8,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,1998,0,159
1595054070883,1913,GetSimple,200,OK,Grupo de Usuários 1-1,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,1913,0,158
1595054070827,1979,GetSimple,200,OK,Grupo de Usuários 1-9,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,1978,0,178
1595054071287,1649,GetSimple,200,OK,Grupo de Usuários 1-3,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,1649,0,163
1595054070927,2009,GetSimple,200,OK,Grupo de Usuários 1-10,text,true,,708,283,10,10,http://35.211.244.95:3000/api/getAsset,2009,0,164
