Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
create-50;500;0;50.1;118.49;49.68;95.10;4.0
query-50;450;50;50.1;28.37;0.63;21.72;13.3
create-100;463;37;98.6;114.91;51.52;94.28;3.9
query-100;450;50;100.2;29.93;0.23;24.15;13.8
create-150;454;46;126.4;120.69;54.71;97.16;3.7
query-150;441;59;127.8;30.60;1.65;24.19;13.5
create-200;431;69;119.9;115.04;52.50;93.92;3.6
query-200;443;56;124.7;32.49;3.26;26.33;13.4
create-250;389;111;117.7;106.19;54.24;89.96;3.5
query-250;445;55;127.5;32.29;4.14;25.10;13.0
