Time;TrAmount
13.009064197540283;51
17.472275972366333;151
25.58478093147278;301
31.264249801635742;501
25.82884669303894;751
30.751602172851562;1051
13.009064197540283;51
17.472275972366333;151
25.58478093147278;301
31.264249801635742;501
25.82884669303894;751
30.751602172851562;1051
13.009064197540283;51
17.472275972366333;151
25.58478093147278;301
31.264249801635742;501
25.82884669303894;751
30.751602172851562;1051
13.009064197540283;51
17.472275972366333;151
25.58478093147278;301
31.264249801635742;501
25.82884669303894;751
30.751602172851562;1051
13.009064197540283;51
17.472275972366333;151
25.58478093147278;301
31.264249801635742;501
25.82884669303894;751
30.751602172851562;1051
13.009064197540283;51
17.472275972366333;151
25.58478093147278;301
31.264249801635742;501
25.82884669303894;751
30.751602172851562;1051
5.727209091186523;21
7.50700306892395;61
10.909924983978271;121
15.738111019134521;201
16.87455701828003;301
19.515380859375;421
24.95534896850586;561
24.753159999847412;721
20.966899871826172;901
27.43808102607727;1101
5.727209091186523;21
7.50700306892395;61
10.909924983978271;121
15.738111019134521;201
16.87455701828003;301
19.515380859375;421
24.95534896850586;561
24.753159999847412;721
20.966899871826172;901
27.43808102607727;1101
5.727209091186523;21
7.50700306892395;61
10.909924983978271;121
15.738111019134521;201
16.87455701828003;301
19.515380859375;421
24.95534896850586;561
24.753159999847412;721
20.966899871826172;901
27.43808102607727;1101
5.727209091186523;21
7.50700306892395;61
10.909924983978271;121
15.738111019134521;201
16.87455701828003;301
19.515380859375;421
24.95534896850586;561
24.753159999847412;721
20.966899871826172;901
27.43808102607727;1101
5.727209091186523;21
7.50700306892395;61
10.909924983978271;121
15.738111019134521;201
16.87455701828003;301
19.515380859375;421
24.95534896850586;561
24.753159999847412;721
20.966899871826172;901
27.43808102607727;1101
5.727209091186523;21
7.50700306892395;61
10.909924983978271;121
15.738111019134521;201
16.87455701828003;301
19.515380859375;421
24.95534896850586;561
24.753159999847412;721
20.966899871826172;901
27.43808102607727;1101
3.6873598098754883;21
7.390111923217773;61
10.181121110916138;121
12.892780065536499;201
15.135159969329834;301
18.59737801551819;421
23.230841159820557;561
24.88697600364685;721
22.603932857513428;901
24.83072519302368;1101
3.5547890663146973;21
6.946043968200684;61
9.601905822753906;121
12.834341049194336;201
14.894113063812256;301
18.212164878845215;421
21.58619499206543;561
21.91725206375122;721
23.622317790985107;901
28.21637487411499;1101
3.143617630004883;21
6.194723844528198;61
9.145904779434204;121
12.01924991607666;201
14.26698899269104;301
17.554502725601196;421
19.905578136444092;561
19.863972902297974;721
20.630995988845825;901
24.702555894851685;1101
3.237534999847412;21
6.936233043670654;61
9.186306238174438;121
12.000325918197632;201
13.910043239593506;301
15.243715047836304;421
19.68128514289856;561
20.56347680091858;721
20.78468894958496;901
21.590602159500122;1101
3.289750099182129;21
5.88486909866333;61
8.911147117614746;121
12.526581048965454;201
13.79399585723877;301
16.43950891494751;421
20.064851760864258;561
22.68750309944153;721
21.582144021987915;901
24.852163791656494;1101
3.418135643005371;21
6.21402907371521;61
8.617865085601807;121
11.74457597732544;201
13.358551979064941;301
17.368677854537964;421
19.26136088371277;561
20.917103052139282;721
20.56473708152771;901
22.601988792419434;1101
3.7019410133361816;21
5.62345290184021;61
8.39974594116211;121
11.506042003631592;201
13.61369514465332;301
17.35275888442993;421
20.283241033554077;561
19.83122491836548;721
18.716171979904175;901
23.171900987625122;1101
3.294595956802368;21
5.7280659675598145;61
8.709565877914429;121
12.026477098464966;201
14.287914037704468;301
15.229019165039062;421
20.033716917037964;561
18.534663915634155;721
20.01726198196411;901
23.363805055618286;1101
