Name;Succ;Fail;Send Rate (TPS);Max Latency (s);Min Latency (s);Avg Latency (s);Throughput (TPS)
create-50;500;0;50.1;118.49;49.68;95.10;4.0
query-50;450;50;50.1;28.37;0.63;21.72;13.3
create-100;463;37;98.6;114.91;51.52;94.28;3.9
query-100;450;50;100.2;29.93;0.23;24.15;13.8
create-150;454;46;126.4;120.69;54.71;97.16;3.7
query-150;441;59;127.8;30.60;1.65;24.19;13.5
create-200;431;69;119.9;115.04;52.50;93.92;3.6
query-200;443;56;124.7;32.49;3.26;26.33;13.4
create-250;389;111;117.7;106.19;54.24;89.96;3.5
query-250;445;55;127.5;32.29;4.14;25.10;13.0
create-50;499;1;50.1;123.79;51.33;96.25;3.8
query-50;430;70;50.1;30.66;0.75;21.86;12.7
create-100;361;139;99.5;104.68;58.10;90.30;3.3
query-100;441;58;99.8;30.12;2.65;24.64;13.3
create-150;380;120;107.0;103.45;55.34;88.96;3.5
query-150;427;73;117.0;31.08;1.01;24.56;12.7
create-200;436;64;112.2;112.74;52.32;89.58;3.8
query-200;450;50;124.0;31.47;2.19;24.99;13.3
create-250;487;13;114.9;130.25;50.12;99.35;3.6
query-250;424;76;114.8;27.19;0.57;23.85;14.1
create-50;488;12;50.1;120.96;49.74;93.29;3.8
query-50;456;44;50.1;28.80;0.57;22.28;13.2
create-100;416;84;100.2;115.78;53.49;93.81;3.5
query-100;439;60;99.6;30.94;1.00;23.93;13.2
create-150;438;62;110.4;121.67;54.41;99.41;3.5
query-150;452;47;133.7;30.97;2.22;25.60;13.6
create-200;455;45;108.5;124.31;54.03;102.51;3.5
query-200;463;35;122.1;28.39;4.71;22.88;15.2
create-250;433;67;110.1;115.16;54.22;94.41;3.6
query-250;458;42;116.8;29.61;0.73;24.07;14.2
create-50;469;31;50.1;117.28;53.25;96.16;3.7
query-50;456;44;50.1;27.41;1.01;20.81;13.6
create-100;444;56;99.8;115.91;52.01;93.38;3.7
query-100;459;41;100.0;29.67;0.62;23.64;14.2
create-150;467;33;130.2;123.78;52.45;98.45;3.7
query-150;452;48;125.3;32.09;1.81;27.54;13.3
create-200;409;91;140.1;115.61;55.27;96.16;3.4
query-200;464;36;137.0;31.54;1.50;24.75;13.7
create-250;476;24;112.5;133.25;52.90;105.21;3.5
query-250;447;53;121.6;33.12;1.06;25.26;13.1
create-50;426;74;50.1;109.08;51.87;89.86;3.6
query-50;428;72;50.1;29.26;0.51;22.60;12.3
create-100;421;79;99.5;112.75;55.32;93.32;3.6
query-100;437;63;99.2;29.73;0.76;23.68;13.0
create-150;416;84;105.6;114.21;55.18;95.81;3.5
query-150;426;74;130.0;31.58;4.03;25.50;12.6
create-200;414;86;118.5;117.56;52.23;94.59;3.4
query-200;433;67;124.1;33.34;0.79;26.68;12.8
create-250;469;31;116.2;123.33;51.97;99.13;3.7
query-250;421;79;119.8;33.04;1.97;26.84;12.0
create-50;397;103;50.1;119.89;54.87;94.59;3.2
query-50;422;78;50.1;30.14;0.51;20.68;12.7
create-100;476;24;98.6;119.32;52.83;95.74;3.9
query-100;442;56;98.9;31.06;0.57;24.84;13.1
create-150;468;32;111.4;119.64;52.79;96.26;3.8
query-150;441;59;119.8;30.38;1.73;24.52;13.5
create-200;445;55;116.5;128.41;52.21;100.26;3.4
query-200;432;67;126.5;29.73;1.49;23.49;13.5
create-250;420;80;105.6;119.97;55.05;98.37;3.4
query-250;438;62;118.8;29.33;1.44;23.24;13.8
