Time;TPS
5.7273;0.0095
3.7544;0.0063
3.9315;0.0066
4.3644;0.0073
4.1124;0.0069
3.2717;0.0055
3.6923;0.0062
4.3033;0.0072
4.3673;0.0073
3.0375;0.0051
4.0827;0.0068
3.725;0.0062
4.3963;0.0073
3.3192;0.0055
4.432;0.0074
5.2103;0.0087
3.2881;0.0055
4.027;0.0067
4.5016;0.0075
3.8576;0.0064
4.4936;0.0075
3.6986;0.0062
3.6065;0.006
4.2147;0.007
4.2892;0.0071
3.7822;0.0063
3.7226;0.0062
4.1291;0.0069
4.3019;0.0072
4.1492;0.0069
4.7395;0.0079
5.9307;0.0099
4.3126;0.0072
4.3673;0.0073
4.497;0.0075
4.5923;0.0077
4.1589;0.0069
4.1499;0.0069
4.2891;0.0071
5.0055;0.0083
4.0199;0.0067
4.0205;0.0067
5.6198;0.0094
3.8857;0.0065
5.5092;0.0092
5.3134;0.0089
4.0391;0.0067
4.7835;0.008
4.2672;0.0071
5.0327;0.0084
4.6285;0.0077
5.1425;0.0086
4.5037;0.0075
5.2836;0.0088
4.4695;0.0074
5.3409;0.0089
4.689;0.0078
4.5296;0.0075
5.8615;0.0098
4.2683;0.0071
4.5255;0.0075
5.0715;0.0085
4.2604;0.0071
5.252;0.0088
5.7418;0.0096
5.7652;0.0096
5.5297;0.0092
5.527;0.0092
4.7673;0.0079
5.3837;0.009
4.8126;0.008
5.1297;0.0085
5.5559;0.0093
4.8662;0.0081
4.7279;0.0079
6.0626;0.0101
5.6567;0.0094
4.4316;0.0074
4.9648;0.0083
5.7372;0.0096
4.6809;0.0078
6.3367;0.0106
5.3694;0.0089
6.5469;0.0109
4.8033;0.008
5.2437;0.0087
6.1164;0.0102
5.1791;0.0086
4.8059;0.008
5.5392;0.0092
5.1155;0.0085
7.3135;0.0122
5.0527;0.0084
5.6768;0.0095
7.5604;0.0126
7.6338;0.0127
5.2469;0.0087
8.8656;0.0148
4.4866;0.0075
7.9561;0.0133
8.9424;0.0149
5.4977;0.0092
4.1108;0.0069
7.5816;0.0126
4.7881;0.008
5.4797;0.0091
4.884;0.0081
6.8881;0.0115
4.9556;0.0083
6.0336;0.0101
4.8641;0.0081
5.2948;0.0088
5.1141;0.0085
1.7006;0.0028
1.9583;0.0033
1.4358;0.0024
2.3578;0.0039
3.9027;0.013
4.3927;0.0146
106.0179;0.3534
4.3014;0.0143
4.2493;0.0142
3.8623;0.0129
4.1522;0.0138
118.0288;0.3934
3.9301;0.0131
6.6393;0.0221
4.9614;0.0165
4.2598;0.0142
5.3599;0.0179
4.0771;0.0136
17.2759;0.0576
7.2147;0.024
4.2292;0.0141
5.0364;0.0168
4.9095;0.0164
4.9263;0.0164
5.5225;0.0184
4.9295;0.0164
4.5835;0.0153
7.6684;0.0256
5.5757;0.0186
4.9202;0.0164
5.359;0.0179
5.636;0.0188
5.5947;0.0186
4.6834;0.0156
4.6583;0.0155
5.3075;0.0177
4.3711;0.0146
4.4136;0.0147
4.5458;0.0152
4.7665;0.0159
4.3352;0.0145
5.6766;0.0189
5.2927;0.0176
4.4275;0.0148
5.8722;0.0196
6.092;0.0203
5.4603;0.0182
4.7401;0.0158
4.446;0.0148
4.4565;0.0149
3.9072;0.013
4.5386;0.0151
4.1904;0.014
4.8065;0.016
5.4305;0.0181
7.8216;0.0261
5.6663;0.0189
4.1798;0.0139
4.9206;0.0164
5.9175;0.0197
5.2476;0.0175
5.9274;0.0198
4.2566;0.0142
6.8189;0.0227
5.688;0.019
4.1629;0.0139
5.0138;0.0167
5.4536;0.0182
6.5408;0.0218
4.987;0.0166
5.6009;0.0187
7.3888;0.0246
6.5451;0.0218
5.1517;0.0172
6.5802;0.0219
5.0334;0.0168
6.5623;0.0219
6.6502;0.0222
5.2264;0.0174
5.3287;0.0178
4.6976;0.0157
4.8784;0.0163
4.8139;0.016
5.2814;0.0176
6.5801;0.0219
4.6715;0.0156
4.9364;0.0165
5.2606;0.0175
7.6394;0.0255
4.1412;0.0138
6.4576;0.0215
5.9281;0.0198
5.4093;0.018
5.3912;0.018
6.2445;0.0208
4.9101;0.0164
5.224;0.0174
4.4375;0.0148
7.3784;0.0246
5.2335;0.0174
5.4271;0.0181
5.3928;0.018
5.8927;0.0196
5.4457;0.0182
4.9411;0.0165
4.2611;0.0142
5.2132;0.0174
5.5433;0.0185
6.0948;0.0203
4.696;0.0157
5.4765;0.0183
5.625;0.0187
6.0081;0.02
6.2072;0.0207
6.271;0.0209
4.8416;0.0161
1.3078;0.0044
2.0818;0.0069
0.7847;0.0026
0.8856;0.003
1.542;0.0051
1.3652;0.0046
1.4229;0.0047
1.1466;0.0038
1.3477;0.0045
1.4959;0.005
1.0123;0.0034
1.1851;0.004
1.4629;0.0049
1.0821;0.0036
1.2214;0.0041
0.9892;0.0033
1.1891;0.004
1.0929;0.0036
1.2141;0.004
2.2886;0.0076
0.8733;0.0029
1.4231;0.0047
1.1787;0.0039
1.5553;0.0052
1.5691;0.0052
1.1524;0.0038
1.3694;0.0046
1.5656;0.0052
1.1813;0.0039
1.0943;0.0036
1.2391;0.0041
